Version;Produkter;Korning;LCP_s;TBT_ms;SpeedIndex_s
Vanilla;1000;37;0,34;0;0,34
Vanilla;1000;38;0,34;0;0,339
Vanilla;1000;39;0,34;0;0,345
Vanilla;1000;40;0,34;0;0,344
Vanilla;1000;41;0,34;0;0,343
Vanilla;1000;42;0,34;0;0,341
Vanilla;1000;43;0,34;0;0,342
Vanilla;1000;44;0,34;0;0,34
Vanilla;1000;45;0,34;0;0,344
Vanilla;1000;46;0,34;0;0,344
Vanilla;1000;47;0,34;0;0,34
Vanilla;1000;48;0,34;0;0,344
Vanilla;1000;49;0,34;0;0,346
Vanilla;1000;50;0,34;0;0,341
Vanilla;1000;51;0,34;0;0,347
Vanilla;1000;52;0,34;0;0,345
Vanilla;1000;53;0,34;0;0,341
Vanilla;1000;54;0,34;0;0,341
Vanilla;1000;55;0,34;0;0,339
Vanilla;1000;56;0,34;0;0,343
Vanilla;1000;57;0,34;0;0,34
Vanilla;1000;58;0,34;0;0,342
Vanilla;1000;59;0,34;0;0,339
Vanilla;1000;60;0,34;0;0,342
Vanilla;1000;61;0,34;0;0,345
Vanilla;1000;62;0,34;0;0,342
Vanilla;1000;63;0,34;0;0,341
Vanilla;1000;64;0,34;0;0,346
Vanilla;1000;65;0,34;0;0,345
Vanilla;1000;66;0,34;0;0,345
Vanilla;1000;67;0,34;0;0,341
Vanilla;1000;68;0,34;0;0,342
Vanilla;1000;69;0,34;0;0,347
Vanilla;1000;70;0,34;0;0,342
Vanilla;1000;71;0,34;0;0,344
Vanilla;1000;72;0,34;0;0,344
Vanilla;1000;73;0,34;0;0,34
Vanilla;1000;74;0,34;0;0,343
Vanilla;1000;75;0,34;0;0,346
Vanilla;1000;76;0,34;0;0,339
Vanilla;1000;77;0,34;0;0,34
Vanilla;1000;78;0,34;0;0,339
Vanilla;1000;79;0,34;0;0,345
Vanilla;1000;80;0,34;0;0,339
Vanilla;1000;81;0,34;0;0,34
Vanilla;1000;82;0,34;0;0,34
Vanilla;1000;83;0,34;0;0,345
Vanilla;1000;84;0,34;0;0,342
Vanilla;1000;85;0,34;0;0,346
Vanilla;1000;86;0,34;0;0,345
Vanilla;1000;87;0,34;0;0,34
Vanilla;1000;88;0,34;0;0,343
Vanilla;1000;89;0,34;0;0,345
Vanilla;1000;90;0,34;0;0,342
Vanilla;1000;91;0,34;0;0,341
Vanilla;1000;92;0,34;0;0,34
Vanilla;1000;93;0,34;0;0,345
Vanilla;1000;94;0,34;0;0,345
Vanilla;1000;95;0,34;0;0,342
Vanilla;1000;96;0,34;0;0,342
Vanilla;1000;97;0,34;0;0,341
Vanilla;1000;98;0,34;0;0,342
Vanilla;1000;99;0,34;0;0,34
Vanilla;1000;100;0,34;0;0,346
Vanilla;2000;1;0,34;0;0,347
Vanilla;2000;2;0,34;0;0,345
Vanilla;2000;3;0,34;0;0,346
Vanilla;2000;4;0,34;0;0,35
Vanilla;2000;5;0,34;0;0,344
Vanilla;2000;6;0,34;0;0,347
Vanilla;2000;7;0,34;0;0,347
Vanilla;2000;8;0,34;0;0,344
Vanilla;2000;9;0,34;0;0,342
Vanilla;2000;10;0,34;0;0,338
Vanilla;2000;11;0,34;0;0,348
Vanilla;2000;12;0,34;0;0,348
Vanilla;2000;13;0,34;0;0,35
Vanilla;2000;14;0,34;0;0,341
Vanilla;2000;15;0,34;0;0,346
Vanilla;2000;16;0,34;0;0,34
Vanilla;2000;17;0,34;0;0,342
Vanilla;2000;18;0,34;0;0,342
Vanilla;2000;19;0,34;0;0,344
Vanilla;2000;20;0,34;0;0,345
Vanilla;2000;21;0,34;0;0,348
Vanilla;2000;22;0,34;0;0,341
Vanilla;2000;23;0,34;0;0,341
Vanilla;2000;24;0,34;0;0,342
Vanilla;2000;25;0,34;0;0,346
Vanilla;2000;26;0,34;0;0,343
Vanilla;2000;27;0,34;0;0,344
Vanilla;2000;28;0,34;0;0,345
Vanilla;2000;29;0,34;0;0,339
Vanilla;2000;30;0,34;0;0,348
Vanilla;2000;31;0,34;0;0,343
Vanilla;2000;32;0,34;0;0,339
Vanilla;2000;33;0,34;0;0,346
Vanilla;2000;34;0,34;0;0,346
Vanilla;2000;35;0,34;0;0,348
Vanilla;2000;36;0,34;0;0,348
Vanilla;2000;37;0,34;0;0,346
Vanilla;2000;38;0,34;0;0,346
Vanilla;2000;39;0,34;0;0,342
Vanilla;2000;40;0,34;0;0,342
Vanilla;2000;41;0,34;0;0,345
Vanilla;2000;42;0,34;0;0,344
Vanilla;2000;43;0,34;0;0,347
Vanilla;2000;44;0,34;0;0,345
Vanilla;2000;45;0,34;0;0,341
Vanilla;2000;46;0,34;0;0,343
Vanilla;2000;47;0,34;0;0,338
Vanilla;2000;48;0,34;0;0,347
Vanilla;2000;49;0,34;0;0,346
Vanilla;2000;50;0,34;0;0,349
Vanilla;2000;51;0,34;0;0,347
Vanilla;2000;52;0,34;0;0,342
Vanilla;2000;53;0,34;0;0,348
Vanilla;2000;54;0,34;0;0,348
Vanilla;2000;55;0,34;0;0,34
Vanilla;2000;56;0,34;0;0,347
Vanilla;2000;57;0,34;0;0,344
Vanilla;2000;58;0,34;0;0,349
Vanilla;2000;59;0,34;0;0,349
Vanilla;2000;60;0,34;0;0,34
Vanilla;2000;61;0,34;0;0,343
Vanilla;2000;62;0,34;0;0,347
Vanilla;2000;63;0,34;0;0,341
Vanilla;2000;64;0,34;0;0,346
Vanilla;2000;65;0,34;0;0,341
Vanilla;2000;66;0,34;0;0,345
Vanilla;2000;67;0,34;0;0,346
Vanilla;2000;68;0,34;0;0,342
Vanilla;2000;69;0,34;0;0,345
Vanilla;2000;70;0,34;0;0,342
Vanilla;2000;71;0,34;0;0,341
Vanilla;2000;72;0,34;0;0,348
Vanilla;2000;73;0,34;0;0,341
Vanilla;2000;74;0,34;0;0,348
Vanilla;2000;75;0,34;0;0,34
Vanilla;2000;76;0,34;0;0,342
Vanilla;2000;77;0,34;0;0,341
Vanilla;2000;78;0,34;0;0,344
Vanilla;2000;79;0,34;0;0,346
Vanilla;2000;80;0,34;0;0,344
Vanilla;2000;81;0,34;0;0,347
Vanilla;2000;82;0,34;0;0,341
Vanilla;2000;83;0,34;0;0,349
Vanilla;2000;84;0,34;0;0,345
Vanilla;2000;85;0,34;0;0,341
Vanilla;2000;86;0,34;0;0,345
Vanilla;2000;87;0,34;0;0,346
Vanilla;2000;88;0,34;0;0,343
Vanilla;2000;89;0,34;0;0,347
Vanilla;2000;90;0,34;0;0,346
Vanilla;2000;91;0,34;0;0,349
Vanilla;2000;92;0,34;0;0,347
Vanilla;2000;93;0,34;0;0,342
Vanilla;2000;94;0,34;0;0,346
Vanilla;2000;95;0,34;0;0,348
Vanilla;2000;96;0,34;0;0,343
Vanilla;2000;97;0,34;0;0,348
Vanilla;2000;98;0,34;0;0,345
Vanilla;2000;99;0,34;0;0,347
Vanilla;2000;100;0,34;0;0,348
React;500;1;0,364;0;0,323
React;500;2;0,364;0;0,323
React;500;3;0,363;0;0,322
React;500;4;0,363;0;0,322
React;500;5;0,364;0;0,323
React;500;6;0,364;0;0,322
React;500;7;0,364;0;0,323
React;500;8;0,363;0;0,322
React;500;9;0,363;0;0,322
React;500;10;0,363;0;0,322
React;500;11;0,364;0;0,323
React;500;12;0,363;0;0,322
React;500;13;0,364;0;0,323
React;500;14;0,364;0;0,322
React;500;15;0,363;0;0,322
React;500;16;0,364;0;0,322
React;500;17;0,363;0;0,322
React;500;18;0,364;0;0,323
React;500;19;0,364;0;0,322
React;500;20;0,364;0;0,323
React;500;21;0,363;0;0,322
React;500;22;0,364;0;0,323
React;500;23;0,364;0;0,322
React;500;24;0,363;0;0,322
React;500;25;0,364;0;0,323
React;500;26;0,363;0;0,322
React;500;27;0,363;0;0,322
React;500;28;0,363;0;0,322
React;500;29;0,364;0;0,323
React;500;30;0,363;0;0,322
React;500;31;0,365;0;0,323
React;500;32;0,363;0;0,322
React;500;33;0,363;0;0,322
React;500;34;0,365;0;0,323
React;500;35;0,363;0;0,322
React;500;36;0,363;0;0,322
React;500;37;0,363;0;0,322
React;500;38;0,363;0;0,322
React;500;39;0,363;0;0,322
React;500;40;0,363;0;0,322
React;500;41;0,363;0;0,322
React;500;42;0,364;0;0,322
React;500;43;0,364;0;0,323
React;500;44;0,363;0;0,322
React;500;45;0,363;0;0,322
React;500;46;0,363;0;0,322
React;500;47;0,363;0;0,322
React;500;48;0,364;0;0,322
React;500;49;0,363;0;0,322
React;500;50;0,363;0;0,322
React;500;51;0,364;0;0,323
React;500;52;0,364;0;0,323
React;500;53;0,364;0;0,322
React;500;54;0,363;0;0,322
React;500;55;0,363;0;0,322
React;500;56;0,363;0;0,322
React;500;57;0,363;0;0,322
React;500;58;0,364;0;0,323
React;500;59;0,364;0;0,323
React;500;60;0,363;0;0,322
React;500;61;0,363;0;0,322
React;500;62;0,364;0;0,322
React;500;63;0,363;0;0,322
React;500;64;0,363;0;0,322
